,First Name,Last Name,ID No.,Phone Number,_1,_2,Longitude,Latitude,_3,_4,_5,_6,_7,_8,Location Name
13,Zuhibu,Vulavo,25334742,765323974,9232,0,39.618301,-4.009323,1000,3,1,1355490959,1360060621,0,"Mombasa Road, Changamwe ward, Mombasa, Changamwe, Miritini ward, Changamwe, Mombasa County, Coast, 80102, Kenya"
14,Cykase,Neso,30494072,773259178,11255,0,39.618455,-4.024234,28227,77,1,1355496715,1467685022,0,"Port Reitz ward, Mombasa, Port Reitz, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
15,Loju,Faga,25222664,711965575,8854,0,39.632394,-4.029628,1000,14,1,1356003818,1487985902,0,"Changamwe Roundabout, Kipevu ward, Mombasa, Mikindani ward, Jomvu, Mombasa County, Coastal Kenya, 80102, Kenya"
16,Bafu,Magijo,37428148,731356829,9012,0,39.654412,-4.059501,1000,26,1,1356019257,1486231650,0,"Dar Es Salam Road, Ganjoni/Shimanzi ward, Mombasa, Shimanzi, Mombasa, Mvita, Mombasa County, Coast, 80104, Kenya"
17,Bipupa,Guzozi,38703549,787899422,25313,0,39.436798,-3.833542,1000,2,1,1356061068,1363001906,0,"MARIAKANI WEIGHBRIDGE  - MSA, Mariakani ward, Kaloleni, Kilifi County, Coastal Kenya, Kenya"
18,Hezy,Vuqu,29587400,730629825,8810,0,39.301254,-3.792436,10240,15,1,1356062956,1464735873,0,"Mombasa Road, Samburu/Chengoni ward, Kinango, Kwale, Coastal Kenya, Kenya"
19,Dekucu,Qyquja,24540996,774462270,8801,0,39.215088,-3.768311,13993,18,1,1356064704,1464735873,0,"Mombasa Road, Samburu/Chengoni ward, Kinango, Kwale, Coastal Kenya, Kenya"
20,Wecusy,Lysomu,34930621,704340293,8654,0,39.048993,-3.73087,4668,55,1,1356066434,1464735873,0,"Mackinnon Road, Mackinon Road ward, Kinango, Kwale, Coastal Kenya, Kenya"
21,Xivysa,Mumuhe,33945360,776052708,8670,0,38.493659,-3.105573,10280,11,1,1356079663,1486527533,0,"Mombasa Road, Wundanyi, Taita–Taveta, Coastal Kenya, Kenya"
22,Dega,Vidyqi,24408763,742190842,11680,0,38.107796,-2.658348,2787,4,1,1356085643,1479710099,0,"Kibwezi East, Makueni, Eastern, Kenya"
23,Luveny,Heqejy,23247958,714647295,11844,0,37.996216,-2.48291,1000,2,1,1356089537,1451973335,0,"Kinyambu Market, Mombasa Road, Thange, Kibwezi East, Makueni, Eastern, Kenya"
24,Joliqu,Dowu,20084002,784474254,11690,0,37.960509,-2.441712,8635,8,1,1356090600,1486632459,0,"Kibwezi East, Makueni, Eastern, Kenya"
25,Hylyky,Kyje,32441201,701383627,18062,0,37.143021,-1.546249,1000,9,1,1356110745,1407142810,0,"Mombasa Road, Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
26,Tyhilu,Togida,21469006,721833338,64201,0,37.139969,-1.542892,1000,3,1,1356146571,1360124991,0,"Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
27,Ragyje,Racisu,31581809,791585318,12855,0,36.947304,-1.405644,1000,17,1,1356148520,1487379132,0,"Avenue Estate, Mlolongo, Syokimau-Mulolongo ward, Mavoko, Machakos County, Eastern, 00519, Kenya"
28,Tyluxo,Fahapa,37077684,757907816,14221,0,36.928482,-1.380386,1000,9,1,1356153153,1478752659,0,"Old Mombasa Road, Syokimau, Syokimau-Mulolongo ward, Mavoko, Machakos County, Eastern, 00519, Kenya"
29,Cegury,Xoko,38949524,712710931,8565,0,36.900101,-1.33461,1531,3,1,1356153898,1363765148,0,"Avic Shacman, Mombasa Road, Pipeline ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00603, Kenya"
30,Wocu,Pedefa,31670893,762936160,1180,0,36.920242,-1.316643,1558,4,1,1356163802,1408433919,0,"Airport North Road, Embakasi village, NSSF Nyayo Embakasi, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
31,Xojeko,Fasa,27760135,783793118,8564,0,36.897354,-1.326828,1000,3,1,1356176566,1363765071,0,"Airport North Road, Pipeline, Pipeline ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
32,Dojuka,Fexu,37989333,720894365,126,0,36.855698,-1.31316,1000,7,1,1356178352,1408433793,0,"Enterprise Road, Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
33,Tali,Wucyjo,31739221,767260046,6411,0,36.989878,-1.479514,100423,70,1,1356185411,1378617962,0,"Athi River ward, Mavoko, Machakos County, Eastern, Kenya"
34,Lufene,Viwosi,23593526,767226555,3682,0,36.872726,-1.305862,1000,5,1,1356207420,1361180861,0,"Nanyuki Road, Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
35,Tyga,Jifali,26688376,703046722,14232,0,37.008499,-1.457382,4334,15,1,1356213667,1482985126,0,"Green Park Estate Athi River, Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
36,Luho,Lohuno,20040641,715329345,64292,0,37.472992,-2.079849,1000,6,1,1356222719,1362897617,0,"Emali Market, Mombasa Road, Emali, Kibwezi West, Makueni, Eastern, Kenya"
37,Bahoga,Cypocy,27126373,748980692,64280,0,37.722244,-2.211685,1000,2,1,1356243064,1363829007,0,"Kiboko, Kibwezi West, Makueni, Eastern, Kenya"
38,Nodizi,Xanuqu,34641097,779405946,11861,0,37.81974792,-2.280349731,1000,1,1,1356220932,1356220932,0,"Makindu, Kibwezi West, Makueni, Eastern, Kenya"
39,Civovu,Berosy,37537067,746241278,6436,0,36.874695,-1.309662,1000,6,1,1356590391,1381895358,0,"Flodo Medical and curative services, Sasio Road, Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
40,Mikihu,Caxu,36496708,797697916,4725,0,36.900101,-1.323166,1000,3,1,1356591736,1364793036,0,"Airport North Road, Pipeline, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
41,Xiza,Baqajy,27963170,751999556,112,0,36.86821,-1.330032,1000,9,1,1356595704,1408433919,0,"Mombasa Road, Villa Franca Estate, Imara Daima ward, Nairobi South ward, Nairobi, Starehe, Nairobi County, Nairobi, 00501, Kenya"
42,Wakifa,Kosuny,33960400,727545589,765,0,36.81312561,-1.235275269,1000,1,1,1356579013,1356579013,0,"United Nations Avenue, Karura sublocation, Highridge location, Highridge division, Westlands, Nairobi, Nairobi County, Nairobi, 00621, Kenya"
43,Cemaxa,Jonu,24142668,713734727,1900,0,36.857758,-1.309433,1000,2,1,1356611439,1360592714,0,"Lunga Lunga Rd., Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
44,Veri,Tyziti,34983051,716330924,3581,0,36.884537,-1.30188,1000,2,1,1356638526,1358488393,0,"Lunga Lunga Rd., Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
45,Qykyla,Hycele,21888261,710124338,6926,0,36.8914032,-1.309432983,1000,1,1,1356619229,1356619229,0,"Moto Moto Chicken & Chips, Outer Ring Road, Pipeline, Pipeline ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
46,Hidydi,Guta,36394136,744445332,12336,0,36.963403,-1.43364,2863,63,1,1356644301,1487379132,0,"Mombasa Cement, Mombasa Road, Athi River, Mavoko, Machakos County, Eastern, Kenya"
47,Jyru,Wuzo,35345319,723051608,2220,0,36.894304,-1.624376,23651,9,1,1356644301,1489102310,0,"Kisaju sublocation, Kaputiei North ward, Kajiado East, Rift Valley, Kenya"
48,Sokodi,Hevuho,37715992,714413327,1122,0,36.88385,-1.328888,1000,6,1,1357657519,1364356177,0,"Nairobi Expressway, Pipeline, Imara Daima ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
49,Butajy,Batota,33078711,725646367,4530,0,36.893326,-1.338684,3260,10,1,1357657988,1377744026,0,"Steel Makers Limited, Mombasa Road, South C ward, Lang'ata, Nairobi, Nairobi County, Nairobi, 00603, Kenya"
50,Zigo,Zoki,30895521,767779441,13372,0,36.953049,-1.408463,3138,18,1,1357658976,1486952331,0,"Matathani ward, Mavoko, Machakos County, Eastern, 00519, Kenya"
51,Vozawi,Howy,36010462,737505385,12365,0,37.026809,-1.473404,4681,5,1,1357660194,1476941291,0,"Mombasa-Nairobi Road, Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
52,Jivele,Petowy,27695150,755189684,64206,0,37.128639,-1.53019,1000,4,1,1357661961,1364528081,0,"Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
53,Ce,Xezy,23228290,723378482,64290,0,37.477112,-2.081223,1000,2,1,1357670725,1362144564,0,"Mombasa Road, Emali, Kibwezi West, Makueni, Eastern, Kenya"
54,Lomova,Sowu,32368423,735471853,11652,0,38.043594,-2.55724,3819,8,1,1357678570,1450320029,0,"Kibwezi East, Makueni, Eastern, Kenya"
55,Qefuzu,Keqeda,25850941,715664102,9364,0,39.548264,-3.969955,1000,3,1,1357713598,1464735873,0,"Mazeras, Kasemeni ward, Kinango, Kwale, Coastal Kenya, Kenya"
56,Rari,Mojo,34371455,710054063,11246,0,39.598285,-4.008949,1000,11,1,1357714342,1477446554,0,"Magongo Road, Miritini, Kwa Jomvu, Miritini ward, Jomvu, Mombasa County, Coast, 80115, Kenya"
57,Qyda,Josowy,39088285,758165109,11222,0,39.649887,-4.056931,1000,24,1,1357842805,1486231650,0,"Port Kilindini Road, Ganjoni/Shimanzi ward, Mombasa, Shimanzi, Mombasa, Mvita, Mombasa County, Coast, 80104, Kenya"
58,Xacihi,Kuty,24750411,712249955,8650,0,39.057672,-3.735057,3283,7,1,1357911627,1464735873,0,"Mackinnon Road, Mackinon Road ward, Kinango, Kwale, Coastal Kenya, Kenya"
59,Qekilu,Saqy,39042156,788266348,8701,0,38.565917,-3.400636,1467,9,1,1357917272,1545001336,0,"Voi, Coastal Kenya, 80300, Kenya"
60,Takyfo,Kapike,25621159,762026019,3311,0,38.464279,-2.996292,1000,3,1,1357921388,1363035966,0,"Mombasa Road, Wundanyi, Taita–Taveta, Coastal Kenya, Kenya"
61,Hiri,Secija,39413683,795572040,8660,0,38.445118,-2.977197,6742,21,1,1357921450,1487733935,0,"Mombasa Road, Wundanyi, Taita–Taveta, Coastal Kenya, Kenya"
62,Piquny,Syso,26995171,726711609,11646,0,38.159245,-2.682037,3032,14,1,1357926390,1470733217,0,"Mtito Andei, Kibwezi East, Makueni, Eastern, Kenya"
63,Bepemu,Bycygu,31446817,787691293,8420,0,38.138351,-2.662697,6099,12,1,1357926780,1470733217,0,"Kibwezi East, Makueni, Eastern, Kenya"
64,Wicito,Wofujo,22018080,735286885,12200,0,38.091463,-2.642114,1008,7,1,1357927520,1479710099,0,"Kibwezi East, Makueni, Eastern, Kenya"
65,Bota,Ceguxa,20858067,785818766,8591,0,37.962227,-2.423172,1461,8,1,1357930010,1483774328,0,"Mombasa Road, Thange, Kibwezi East, Makueni, Eastern, Kenya"
66,Harico,Pocevy,27073888,720518915,18181,0,37.176405,-1.704767,59310,14,1,1357951092,1376550924,0,"Konza sublocation, Kalama ward, Machakos Town, Machakos County, Eastern, Kenya"
67,Ra,Jopa,31386648,707091103,64205,0,37.14271545,-1.545639038,1000,3,1,1357958948,1364330080,0,"Mombasa Road, Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
68,My,Quzefo,33153539,712135115,14460,0,37.060776,-1.493454,1000,3,1,1357959900,1362137077,0,"Nairobi-Mombasa Road, Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
69,Pimy,Kifype,20521402,704652149,14231,0,36.99543,-1.446648,1547,12,1,1357960481,1482643158,0,"Mombasa - Nairobi Road, Athi River ward, Mavoko, Machakos County, Eastern, Kenya"
70,Lizu,Lopasa,21061344,769001655,14225,0,36.927658,-1.38414,1000,10,1,1357963419,1478054768,0,"Syokimau, Syokimau-Mulolongo ward, Mavoko, Machakos County, Eastern, 00519, Kenya"
71,Xikare,Zole,22990613,715148937,14025,0,36.916946,-1.369125,1522,15,1,1357963792,1483434155,0,"Syokimau, Syokimau-Mulolongo ward, Mavoko, Machakos County, Eastern, 74416, Kenya"
72,Qihu,Nugyra,36527150,712067381,4534,0,36.898956,-1.341705,2162,4,1,1357964153,1362706017,0,"Nairobi Expressway, Pipeline ward, Embakasi, Nairobi, Nairobi County, Nairobi, 74416, Kenya"
73,Typulu,Hukybe,33332867,749204921,7910,0,36.84333801,-1.309432983,1000,1,1,1357954609,1357954609,0,"Busia Road, Mukuru Kayaba Village, Landimawe ward, Nairobi, Starehe, Nairobi County, Nairobi, 00200, Kenya"
74,Giga,Totady,32022092,723305607,3742,0,36.90513611,-1.349258423,1000,1,1,1358160294,1358160294,0,"Nairobi Expressway, South C ward, Lang'ata, Nairobi, Nairobi County, Nairobi, 74416, Kenya"
75,Xadowu,Peju,32503326,704470708,11642,0,38.154602,-2.664185,3369,6,1,1358225328,1470733217,0,"Kibwezi East, Makueni, Eastern, Kenya"
76,Vorowa,Ranoki,29244339,733790465,8802,0,39.068756,-3.741781,1018,22,1,1358242598,1464735873,0,"Mombasa Road, Mackinnon Road, Mackinon Road ward, Kinango, Kwale, Coastal Kenya, Kenya"
77,Caxego,Nohiqy,39980529,787934514,8812,0,39.384715,-3.865208,31737,22,1,1358244007,1464735873,0,"Mwavumbo ward, Kinango, Kwale, Coastal Kenya, Kenya"
78,Xaxodu,Sasabo,23844168,747255306,8816,0,39.254287,-3.791519,3111,5,1,1358244530,1464735873,0,"Samburu/Chengoni ward, Kinango, Kwale, Coastal Kenya, Kenya"
79,Hogiki,Fovali,31519605,781680805,10155,0,39.58623,-3.98833,26548,69,1,1358246565,1464735873,0,"Jomvu Kuu ward, Jomvu, Mombasa County, Coast, Kenya"
80,Moqaha,Milu,22830367,781065248,8431,0,39.500914,-3.894911,2365,16,1,1358247522,1491269748,0,"Mombasa Road, Mariakani ward, Kaloleni, Kilifi County, Coastal Kenya, Kenya"
81,Nuvawo,Qonu,23409026,740904179,911,0,36.8914032,-1.320419312,1000,4,1,1358250964,1359534134,0,"Honey Suckle apartments ph.1, Kware ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
82,Jamyxa,Bafytu,35974401,791692951,9086,0,39.629745,-4.01413,1000,6,1,1358345167,1487985902,0,"Mombasa Road, Changamwe ward, Mombasa, Changamwe, Miritini ward, Changamwe, Mombasa County, Coast, Kenya"
83,Zavyve,Weto,27501435,704387676,9231,0,39.621391,-4.009323,1000,12,1,1358413587,1364877413,0,"Mombasa Road, Kwa Shee, Mombasa, Mikindani, Mikindani ward, Jomvu, Mombasa County, Coastal Kenya, 80102, Kenya"
84,Biqy,Xexo,23545067,768223070,9235,0,39.621928,-4.009746,1734,13,1,1358414665,1364877483,0,"Mombasa Road, Changamwe ward, Mombasa, Changamwe, Miritini ward, Changamwe, Mombasa County, Coast, 80102, Kenya"
85,Zyfobu,Rutyso,39604830,720862033,9236,0,39.61738586,-4.007949829,1000,1,1,1358398021,1358398021,0,"Mombasa Road, Kwa Shee, Mombasa, Mikindani, Mikindani ward, Jomvu, Mombasa County, Coastal Kenya, 80102, Kenya"
86,Cylytu,Zadevu,27330962,745128508,10151,0,39.437907,-3.835443,6876,13,1,1358424125,1464735873,0,"Mombasa Road, Mariakani ward, Kaloleni, Kilifi County, Coastal Kenya, Kenya"
87,Turyce,Hakeha,29336175,783262691,10156,0,39.353714,-3.797935,6902,14,1,1358425338,1488765564,0,"Mwavumbo ward, Kinango, Kwale, Coastal Kenya, Kenya"
88,Dibiga,Fybaky,35542830,717289417,14185,0,36.96769,-1.460495,1150,20,1,1358429343,1487379091,0,"Milimani, Athi River ward, Mavoko, Machakos County, Eastern, Kenya"
89,Jybowo,Wekabu,32898305,787011405,8391,0,38.562081,-3.386891,40211,29,1,1358434687,1490750473,0,"Voi, Coastal Kenya, 80300, Kenya"
90,Tazoha,Sogumi,34156992,734109197,8661,0,38.389511,-2.925491,1331,9,1,1358439714,1487733935,0,"Mombasa Road, Wundanyi, Taita–Taveta, Coastal Kenya, Kenya"
91,Liboda,Jysybi,31417990,748707202,3112,0,38.081589,-2.633743,3437,6,1,1358445124,1362155089,0,"Mombasa Road, Mtito Andei, Kibwezi East, Makueni, Eastern, Kenya"
92,Ropada,Figaho,33785537,791348900,3152,0,38.01887512,-2.524795532,1000,1,1,1358426220,1358426220,0,"Mombasa Road, Machinery, Kibwezi East, Makueni, Eastern, Kenya"
93,Xobu,Vunewu,23072599,709100296,11841,0,38.0159,-2.514496,2189,6,1,1358446358,1451973335,0,"Mombasa Road, Machinery, Kibwezi East, Makueni, Eastern, Kenya"
94,Kela,Cimy,28990325,740989966,64200,0,37.13310242,-1.533279419,1000,1,1,1358456908,1358456908,0,"Mombasa Road, Kinanie ward, Mavoko, Machakos County, Eastern, Kenya"
95,Quky,Jubose,26047121,771991621,12502,0,36.927239,-1.373716,9548,21,1,1358481311,1486599248,0,"Syokimau, Syokimau-Mulolongo ward, Mavoko, Machakos County, Eastern, 00519, Kenya"
96,Lasu,Jewija,36350944,781892422,13600,0,36.990136,-1.466133,2393,19,1,1358489076,1487379091,0,"Athi River ward, Mavoko, Machakos County, Eastern, Kenya"
97,Davaza,Wyhe,22748993,711684358,1391,0,36.92024231,-1.312179565,1000,1,1,1358473249,1358473249,0,"Road to KQ Pride Center, NSSF Nyayo Embakasi, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
98,Pinico,Pybaqy,24573191,761648167,13585,0,36.971741,-1.477661,1000,2,1,1358494767,1471175785,0,"Kitengela, Kitengela ward, Kajiado East, Rift Valley, Kenya"
99,Naba,Jaweka,39592455,788524325,6922,0,36.888657,-1.302567,1000,2,1,1358495701,1358495701,0,"Donholm, Lower Savannah ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00515, Kenya"
100,Se,Zeqaku,36280313,750753772,5250,0,36.88728333,-1.312179565,1000,1,1,1358489613,1358489613,0,"Quarry road, Kware, Kware ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
101,Cygi,Vemeto,26400363,739489395,12362,0,36.967941,-1.463058,1480,15,1,1358510651,1487379091,0,"EPZ Road, Milimani, Athi River ward, Mavoko, Machakos County, Eastern, Kenya"
102,Zekaqy,Ne,34624644,791232561,912,0,36.891403,-1.319733,1000,2,1,1358494921,1358494921,0,"Pipeline, Kware ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
103,Syjory,Biveqi,38388690,789247083,5251,0,36.88728333,-1.310806274,1000,1,1,1358495390,1358495390,0,"Honey Suckle apartments Ph. 2, Kware ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
104,Zadawi,Zafoba,32994859,781745833,3635,0,36.88728333,-1.298446655,1000,1,1,1358495994,1358495994,0,"Outer Ring Road, Donholm, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00515, Kenya"
105,Xepypa,Sebi,36653240,796481142,6432,0,36.880112,-1.303024,1036,9,1,1358521541,1375772113,0,"Nanyuki Road, Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
106,Nijone,Sefopu,21255858,785967755,3686,0,36.87492371,-1.306686401,1000,2,1,1358522541,1361870662,0,"Lunga Lunga Rd., Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
107,Jehywi,Sitopa,28039779,731331883,18191,0,37.214002,-1.779723,5136,11,1,1358537615,1378260612,0,"Kilome, Makueni, Eastern, Kenya"
108,Rexaca,Labygu,31807337,797732441,11651,0,38.08287,-2.62381,9358,10,1,1358563052,1450320029,0,"Kibwezi East, Makueni, Eastern, Kenya"
109,Nubagu,Komaga,22785893,705940530,3131,0,38.39515686,-2.929916382,1000,1,1,1358549173,1358549173,0,"Mombasa Road, Wundanyi, Taita–Taveta, Coastal Kenya, Kenya"
110,Vahe,Binadu,22306484,797644647,8792,0,38.897092,-3.615466,23772,10,1,1358577775,1459725056,0,"Voi, Coastal Kenya, 80300, Kenya"
111,Qowisa,Byso,21526660,744283336,8804,0,39.148544,-3.75499,1000,5,1,1358580827,1464735873,0,"Mombasa Road, Mackinon Road ward, Kinango, Kwale, Coastal Kenya, Kenya"
112,Kicysa,Fo,37352148,769890637,8822,0,39.399337,-3.841326,9328,9,1,1358586479,1491269748,0,"Mwavumbo ward, Kinango, Kwale, Coastal Kenya, Kenya"
113,Qyza,Kojuna,39357425,718094437,8434,0,39.490585,-3.880234,1892,3,1,1358587630,1491269748,0,"Lukongo, Mariakani ward, Kaloleni, Kilifi County, Coastal Kenya, Kenya"
114,Viryha,Gydo,24635747,707077718,10932,0,39.540138,-3.946495,2488,4,1,1358587841,1488765558,0,"Mazeras, Rabai/Kisurutini ward, Rabai, Kilifi County, Coast, Kenya"
115,Tolery,Sedeti,38068512,729230475,25323,0,39.5500946,-3.969497681,1000,1,1,1358568269,1358568269,0,"Mombasa Road, Mazeras, Rabai/Kisurutini ward, Rabai, Kilifi County, Coast, Kenya"
116,Hipire,Jeqy,23714945,744601964,9355,0,39.58168,-4.007034,1000,3,1,1358589167,1440194245,0,"Mombasa Road, Mataa ya Ndege, Jomvu Kuu ward, Jomvu, Mombasa County, Coastal Kenya, 80115, Kenya"
117,Jyzexu,Lexugi,20378575,718544031,9244,0,39.593124,-4.008865,1122,6,1,1358590090,1477446554,0,"Magongo Road, Miritini, Kwa Jomvu, Miritini ward, Jomvu, Mombasa County, Coast, 80115, Kenya"
118,Mymexo,Xogehy,21716988,737274246,9082,0,39.629471,-4.015503,1000,10,1,1358591299,1487985902,0,"Changamwe ward, Mombasa, Changamwe, Mikindani ward, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
119,Bole,Ryja,33777422,744379356,9064,0,39.633473,-4.032473,1000,7,1,1358593050,1470733252,0,"Kipevu ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
120,Xyqote,Sowy,32014684,756517020,9060,0,39.636612,-4.031215,1229,17,1,1358593934,1489480404,0,"Mombasa Road, Kipevu ward, Mombasa, Changamwe, Mombasa County, Coast, 80102, Kenya"
121,Bukute,Hesida,27190656,730052255,8855,0,39.634147,-4.032458,1086,39,1,1358595590,1489480404,0,"Kipevu ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
122,Zoga,Wanipa,33222244,758564810,9061,0,39.631493,-4.038037,1000,22,1,1358601872,1488528669,0,"Kipevu ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
123,Pazo,Fuzyvu,27520355,771191529,11220,0,39.64817,-4.049778,1406,24,1,1358614053,1486231650,0,"Port Kilindini Road, Ganjoni/Shimanzi ward, Mombasa, Shimanzi, Mombasa, Mvita, Mombasa County, Coast, 80104, Kenya"
124,Gyqase,Kytexy,27027229,730818726,9052,0,39.646568,-4.035587,1595,24,1,1358857774,1479710065,0,"Mombasa Road, Kipevu ward, Mombasa, Mikindani ward, Changamwe, Mombasa County, Coastal Kenya, 80100, Kenya"
125,Hizo,Safoju,38104649,756388878,11231,0,39.642944,-4.033432,1223,18,1,1358861995,1487985902,0,"KCB MCID KIBARANI BRANCH, Mombasa Road, Kipevu ward, Mombasa, Mikindani ward, Changamwe, Mombasa County, Coastal Kenya, 80112, Kenya"
126,Mefinu,Ximy,32090572,735203331,8882,0,39.656721,-4.041694,1000,14,1,1358865047,1488765558,0,"Makupa Elim Evangelistic Church, Mwangeka Road, Majengo ward, Mombasa, Shimanzi, Mombasa, Mvita, Mombasa County, Coastal Kenya, 80112, Kenya"
127,Mihyvu,Vikysu,24967044,731111468,9085,0,39.632492,-4.01619,1000,4,1,1358866060,1476757880,0,"Bollore HQ, Changamwe ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
128,Lonuke,Dufi,24514323,792391573,12671,0,39.508896,-3.90564,1026,2,1,1358869502,1488765558,0,"Mombasa Road, Mariakani ward, Kaloleni, Kilifi County, Coastal Kenya, Kenya"
129,Vusa,Tevevy,36254865,744317538,8814,0,39.271225,-3.799026,1004,15,1,1358875751,1464735873,0,"Mombasa Road, Samburu/Chengoni ward, Kinango, Kwale, Coastal Kenya, Kenya"
130,Putinu,Xugeni,30272877,722373632,11251,0,39.614544,-4.026987,8351,29,1,1358910314,1492132261,0,"Port Reitz ward, Mombasa, Port Reitz, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
131,Kano,Ce,36176251,762515781,15112,0,37.612381,-2.16362,2007,2,1,1358917272,1361073125,0,"Mombasa Road, Simba, Kenyawa-Poka ward, Kajiado East, Rift Valley, Kenya"
